title,price,location,link,description,area,bedrooms,bathrooms,source,image_url,active,status,last_seen
"Apartamento en Alquiler en San Lucas, Medellín",3800000,"San Lucas, Medellín",https://pandainmobiliaria.com/inmuebles/apartamento-san-lucas-medellin-9696784,,80,2,,panda,https://images.wasi.co/inmuebles/_apartamento_para_alquiler_en_e_1767383786-4611_3305.jpeg,t,NEW,2026-01-13 20:50:18.810518+00
"Apartamento en Alquiler en Las Vegas, Envigado",3740000,"Las Vegas, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-las-vegas-envigado-9657644,,75,3,,panda,https://images.wasi.co/inmuebles/_apartamento_para_alquiler_envi_1764624208-5382_4280.jpeg,t,NEW,2026-01-13 20:50:21.929769+00
"Apartamento en Alquiler en El Portal, Envigado",3700000,"El Portal, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-el-portal-envigado-9682317,,105,2,,panda,https://images.wasi.co/inmuebles/_apartamento_para_alquiler_en_e_1765991808-0378_7147.jpeg,t,NEW,2026-01-13 20:50:22.022459+00
"Apartamento en Alquiler en El Chingui, Envigado",3600000,"El Chingui, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-el-chingui-envigado-7197177,,80,3,,panda,https://images.wasi.co/inmuebles/89827320240117100152.png,t,NEW,2026-01-13 20:50:22.410535+00
"Apartamento en Alquiler en Patio Bonito, Medellín",3600000,"Patio Bonito, Medellín",https://pandainmobiliaria.com/inmuebles/apartamento-patio-bonito-medellin-9171229,,85,3,,panda,https://images.wasi.co/inmuebles/_apartamento_en_alquiler_poblad_1749224203-1592_2412.jpeg,t,NEW,2026-01-13 20:50:22.468231+00
"Apartamento en Alquiler en Villagrande, Envigado",3600000,"Villagrande, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-villagrande-envigado-9520566,,110,3,,panda,https://images.wasi.co/inmuebles/_apartamento_en_alquiler_en_env_1760464330-8847_9633.jpeg,t,NEW,2026-01-13 20:50:25.628424+00
"Apartamento en Alquiler en Cumbres, Envigado",3600000,"Cumbres, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-cumbres-envigado-9681584,,90,2,,panda,https://images.wasi.co/inmuebles/898272520251219114000.jpeg,t,NEW,2026-01-13 20:50:25.709856+00
"Apartamento en Alquiler en Cumbres, Envigado",3500000,"Cumbres, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-cumbres-envigado-7382334,,68,2,,panda,https://images.wasi.co/inmuebles/89827920240409030438.jpg,t,NEW,2026-01-13 20:50:25.985444+00
"Apartamento en Alquiler en Trianon, Envigado",3500000,"Trianon, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-trianon-envigado-8446994,,0,3,,panda,https://cms.pandafincaraiz.com/static/panda/no-photo.svg,t,NEW,2026-01-13 20:50:26.050486+00
"Apartamento en Alquiler en Las Palmas, Medellín",3500000,"Las Palmas, Medellín",https://pandainmobiliaria.com/inmuebles/apartamento-las-palmas-medellin-9494129,,68,2,,panda,https://images.wasi.co/inmuebles/_apartamento_en_alquiler_medell_1759239877-3737_2342.jpeg,t,NEW,2026-01-13 20:50:29.213984+00
